15411, 9
15458, 17
15814, 15
16069, 17
16105, 12
16197, 18
16224, 13
16278, 2
16299, 1
16420, 11
16429, 12
16583, 20
16738, 2
16826, 7
16888, 18
16958, 5
16980, 18
17037, 9
17121, 9
17153, 9
17225, 2
17341, 3
17391, 1
17564, 18
17626, 3
17685, 10
17735, 7
17772, 15
18003, 19
18147, 13
18172, 15
18332, 11
18336, 16
18439, 6
18505, 19
18577, 20
18646, 18
18848, 18
18897, 1
19018, 19
19030, 14
19182, 11
19186, 10
19237, 12
19258, 18
19280, 10
19325, 7
19373, 11
19535, 11
19660, 13
19757, 17
19818, 10
19895, 10
19905, 3
19926, 4
20152, 18
20228, 15
20233, 20
20293, 12
20437, 18
20469, 18
20626, 17
20661, 20
20703, 1
20765, 9
20872, 10
20913, 17
21042, 16
21068, 3
21132, 16
21159, 19
21237, 7
21321, 10
21397, 11
21422, 3
21476, 4
21502, 13
21597, 18
21607, 14
21662, 20
21747, 6
22077, 1
22129, 19
22455, 3
22571, 6
22613, 1
22645, 14
22653, 16
22784, 12
23021, 20
23174, 20
23284, 3
23314, 19
23427, 5
23480, 10
23572, 7
23628, 1
23737, 17
23890, 18
23955, 11
24037, 13
24132, 20
24246, 6
24285, 10
24516, 19
24622, 10
24682, 2
24819, 7
24829, 19
25046, 7
25094, 16
25191, 12
25237, 4
25262, 10
25442, 7
25589, 9
25611, 12
25639, 2
25675, 16
25737, 17
25746, 4
25792, 14
25806, 6
25888, 6
25950, 20
26134, 17
26191, 1
26329, 6
26438, 16
26469, 20
26522, 2
26674, 15
26714, 10
26744, 9
26800, 20
26839, 19
26932, 5
26956, 15
27067, 17
27164, 14
27231, 2
27259, 12
27378, 1
27436, 12
27464, 9
27630, 7
27701, 16
27826, 3
27962, 1
27977, 10
28094, 13
28121, 7
28156, 5
28184, 5
28209, 2
28341, 6
28364, 7
28402, 5
28636, 16
28662, 9
28735, 12
28759, 1
28787, 3
28825, 9
28857, 3
28922, 11
28972, 20
29002, 15
29107, 19
29149, 20
29179, 7
29244, 11
29349, 2
29382, 19
29414, 9
29490, 10
29499, 10
29591, 19
29686, 12
29701, 6
29820, 1
29915, 1
29959, 16
30136, 5
30253, 5
30384, 16
30449, 18
30526, 1
30656, 15
30691, 18
30746, 1
30783, 18
30793, 16
30892, 1
30899, 2
30965, 17
31019, 7
31037, 18
31117, 1
31138, 14
31181, 16
31200, 8
31222, 18
31262, 7
31482, 4
31499, 1
31565, 5
31585, 8
31620, 13
31711, 15
31807, 12
31843, 5
31992, 11
32105, 20
32157, 13
32188, 18
32212, 11
32412, 3
32547, 8
32642, 14
32756, 16
32833, 3
32933, 20
33050, 20
33164, 5
33289, 14
33387, 2
33403, 11
33572, 7
33638, 11
33827, 2
33852, 15
33898, 1
33921, 17
33930, 4
33939, 20
33983, 15
34008, 1
34088, 18
34117, 15
34124, 12
34144, 7
34235, 6
34259, 5
34337, 12
34448, 18
34516, 18
34654, 6
34700, 1
34736, 4
34767, 13
35035, 14
35153, 5
35199, 3
35349, 5
35357, 1
35422, 10
35497, 13
35693, 3
35710, 5
35752, 12
35763, 6
35806, 18
35822, 12
35885, 17
36130, 9
36157, 20
36356, 8
36436, 18
36546, 15
36589, 2
36637, 13
36697, 6
36730, 16
36903, 20
36952, 8
37088, 18
37170, 13
37346, 4
37390, 2
37482, 2
37590, 14
37661, 7
37916, 17
37932, 6
37989, 6
38098, 19
38141, 10
38147, 1
38153, 14
38194, 9
38338, 17
38410, 2
38419, 12
38458, 8
38463, 8
38471, 1
38482, 11
38621, 18
38664, 6
38749, 1
38758, 5
38767, 12
38956, 9
39090, 10
39103, 1
39179, 3
39387, 14
39468, 10
39476, 12
39633, 14
39811, 17
39898, 13
40048, 10
40118, 7
40181, 9
40191, 16
40227, 8
40343, 5
40351, 8
40447, 19
40452, 9
40513, 10
40550, 16
40687, 7
40769, 3
41016, 8
41093, 17
41257, 4
41299, 20
41328, 15
41352, 19
41386, 13
41399, 12
41458, 4
41489, 15
41639, 1
41660, 19
41665, 19
41672, 14
41714, 10
41794, 7
41830, 12
41908, 2
42029, 2
42047, 12
42071, 13
42147, 3
42181, 17
42193, 8
42197, 10
42432, 1
42591, 16
42656, 9
42698, 3
42753, 17
42831, 6
42847, 19
42970, 12
